1	Я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@evk2001f-wordsКатя0.020.29
2	потестила	потестить	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@evk2001f-wordsКатя0.290.56
3	звук	звук	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя0.560.83
4	и	и	CCONJ	_	_	_	_	_	@evk2001f-wordsКатя0.831.1
5	должно	должен	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@evk2001f-wordsКатя1.11.37
6	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@evk2001f-wordsКатя1.371.64
7	слышно	слышный	ADV	_	Degree=Pos	_	_	_	@evk2001f-wordsКатя1.641.91
8	ааа	а	PART	_	_	_	_	_	@evk2001f-wordsКатя2.7703.09
9	че	что	ADV	_	Degree=Cmp	_	_	_	@evk2001f-wordsКатя3.583.89
10	рассказать	рассказывать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@evk2001f-wordsКатя3.894.2
11	а	а	CCONJ	_	_	_	_	_	@evk2001f-wordsКатя4.484.755
12	/	/	PUNCT	_	_	_	_	_	@evk2001f-wordsКатя4.7555.031
13	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@evk2001f-wordsКатя5.0315.307
14	думала	думать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@evk2001f-wordsКатя5.3075.582
15	рассказать	рассказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@evk2001f-wordsКатя5.5825.858
16	про	про	ADP	_	_	_	_	_	@evk2001f-wordsКатя5.8586.134
17	“Киллера”	“Киллер”	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя6.1346.41
18	у	у	ADP	_	_	_	_	_	@evk2001f-wordsКатя6.426.643
19	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@evk2001f-wordsКатя6.6436.867
20	короче	короче	PART	_	_	_	_	_	@evk2001f-wordsКатя6.8677.091
21	в	в	ADP	_	_	_	_	_	@evk2001f-wordsКатя7.0917.315
22	“Киллера”	“Киллер”	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя7.3157.538
23	играют	играть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@evk2001f-wordsКатя7.5387.762
24	в	в	ADP	_	_	_	_	_	@evk2001f-wordsКатя7.7627.986
25	общаге	общага	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя7.9868.21
26	“Киллер	“Киллер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя9.4559.797
27	-	-	PUNCT	_	_	_	_	_	@evk2001f-wordsКатя9.79710.14
28	двойка”	двойка”	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя10.1410.482
29	называется	называться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@evk2001f-wordsКатя10.48210.825
30	и	и	PART	_	_	_	_	_	@evk2001f-wordsКатя10.9311.366
31	там	там	ADV	_	Degree=Pos	_	_	_	@evk2001f-wordsКатя11.36611.802
32	типа	типа	PART						
33	сотка	сотка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя12.23812.674
34	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя12.67413.11
35	и	и	CCONJ	_	_	_	_	_	@evk2001f-wordsКатя13.7914.195
36	на	на	ADP	_	_	_	_	_	@evk2001f-wordsКатя14.19514.6
37	нее	она	PRON	_	Case=Acc|Gender=Fem|Number=Sing|Person=3	_	_	_	@evk2001f-wordsКатя14.615.005
38	регистрировались	регистрироваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@evk2001f-wordsКатя15.00515.41
39	в	в	ADP	_	_	_	_	_	@evk2001f-wordsКатя15.4115.815
40	конце	конец	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя15.81516.22
41	прошлой	прошлый	ADJ	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя16.2216.625
42	недели	неделя	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя16.62517.03
43	вот	вот	PART	_	_	_	_	_	@evk2001f-wordsКатя17.29517.572
44	и	и	PART	_	_	_	_	_	@evk2001f-wordsКатя17.57217.85
45	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@evk2001f-wordsКатя17.8518.128
46	зарегистрировалась	зарегистрироваться	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@evk2001f-wordsКатя18.12818.406
47	и	и	PART	_	_	_	_	_	@evk2001f-wordsКатя18.40618.683
48	две	два	NUM	_	Case=Nom|Gender=Fem	_	_	_	@evk2001f-wordsКатя18.68318.961
49	мои	мой	DET	_	Case=Nom|Number=Plur	_	_	_	@evk2001f-wordsКатя18.96119.239
50	соседки	соседка	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя19.23919.517
51	зарегались	зарегаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Pass	_	_	_	@evk2001f-wordsКатя19.51719.795
52	ну	ну	PART	_	_	_	_	_	@evk2001f-wordsКатя20.3220.516
53	еще	еще	ADV	_	Degree=Pos	_	_	_	@evk2001f-wordsКатя20.51620.712
54	миллион	миллион	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя20.71220.909
55	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@evk2001f-wordsКатя20.90921.105
56	с	с	ADP	_	_	_	_	_	@evk2001f-wordsКатя21.10521.302
57	которыми	который	PRON	_	Case=Ins	_	_	_	@evk2001f-wordsКатя21.30221.498
58	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@evk2001f-wordsКатя21.49821.695
59	знакома	знакомый	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	_	_	_	@evk2001f-wordsКатя21.69521.891
60	здесь	здесь	ADV	_	Degree=Pos	_	_	_	@evk2001f-wordsКатя21.89122.087
61	/	/	PUNCT	_	_	_	_	_	@evk2001f-wordsКатя22.08722.284
62	ну	ну	PART	_	_	_	_	_	@evk2001f-wordsКатя22.28422.48
63	понятно	понятный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	@evk2001f-wordsКатя22.4822.677
64	/	/	PUNCT	_	_	_	_	_	@evk2001f-wordsКатя22.67722.873
65	да	да	CCONJ	_	_	_	_	_	@evk2001f-wordsКатя22.87323.07
66	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@evk2001f-wordsКатя23.44523.765
67	ехали	ехать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@evk2001f-wordsКатя23.76524.085
68	с	с	ADP	_	_	_	_	_	@evk2001f-wordsКатя24.08524.405
69	/	/	PUNCT	_	_	_	_	_	@evk2001f-wordsКатя24.40524.725
70	эээ	э							
71	концерта	концерт	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@evk2001f-wordsКатя25.04525.365
72	“Дайте	“Дать	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@evk2001f-wordsКатя25.36525.685
73	танк!”	танк!”	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя25.68526.005
74	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@evk2001f-wordsКатя26.7727.09
75	Ваня	Ваня	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@evk2001f-wordsКатя27.0927.41
76	и	и	PART	_	_	_	_	_	@evk2001f-wordsКатя27.4127.73
77	одна	один	NUM	_	Case=Nom|Gender=Fem	_	_	_	@evk2001f-wordsКатя27.7328.05
78	из	из	ADP	_	_	_	_	_	@evk2001f-wordsКатя28.0528.37
79	моих	мой	DET	_	Case=Gen|Number=Plur	_	_	_	@evk2001f-wordsКатя28.3728.69
80	соседок	соседка	NOUN	_	Animacy=Anim|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@evk2001f-wordsКатя28.6929.01
81	вот	вот	PART	_	_	_	_	_	@evk2001f-wordsКатя29.4129.71
82	/	/	PUNCT	_	_	_	_	_	@evk2001f-wordsКатя29.7130.01
83	в	в	ADP	_	_	_	_	_	@evk2001f-wordsКатя30.0130.31
84	метро	метро	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@evk2001f-wordsКатя30.3130.61
85	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@evk2001f-wordsКатя31.0131.232
86	ваще	вообще	ADV	_	Degree=Pos	_	_	_	@evk2001f-wordsКатя31.23231.455
